チーム2回目,1,2,3,4,5
1,A002,A049,A110,A165,A098
2,A003,A051,A112,A166,A099
3,A004,A054,A116,A167,A103
4,A005,A055,A117,A168,A106
5,A006,A056,A118,A170,A111
6,A007,A057,A120,A171,A113
7,A008,A058,A122,A173,A114
8,A009,A059,A125,A175,A115
9,A011,A062,A126,A176,A119
10,A012,A063,A128,A177,A121
11,A013,A064,A129,A015,A123
12,A014,A065,A130,A017,A124
13,A016,A067,A132,A019,A127
14,A018,A068,A133,A029,A131
15,A021,A069,A135,A039,A134
16,A022,A070,A138,A040,A136
17,A023,A071,A139,A043,A137
18,A024,A075,A140,A044,A141
19,A025,A076,A142,A050,A155
20,A026,A077,A143,A052,A156
21,A027,A078,A144,A053,A161
22,A028,A080,A145,A060,A162
23,A030,A084,A146,A061,A169
24,A031,A085,A147,A066,A172
25,A032,A088,A148,A072,A174
26,A033,A089,A149,A073,A179
27,A034,A091,A150,A074,A183
28,A035,A094,A151,A079,A184
29,A036,A095,A152,A081,A185
30,A037,A096,A153,A082,A187
31,A038,A101,A154,A083,A188
32,A041,A102,A157,A086,A189
33,A042,A104,A158,A087,A190
34,A045,A105,A159,A090,A192
35,A046,A107,A160,A092,A196
36,A047,A108,A163,A093,A197
37,A048,A109,A164,A097,
